destination_region,dom,inne,praca,szkoła,uczelnia
278.0,0.0,1.0,3.0,0.0,0.0
279.0,1.0,3.0,0.0,0.0,0.0
282.0,0.0,41.0,22.0,0.0,0.0
283.0,11.0,3.0,1.0,0.0,0.0
284.0,0.0,0.0,1.0,0.0,0.0
285.0,1.0,0.0,0.0,0.0,0.0
286.0,9.0,3.0,0.0,0.0,0.0
287.0,1.0,0.0,4.0,0.0,0.0
288.0,2.0,4.0,10.0,0.0,0.0
289.0,0.0,0.0,2.0,0.0,0.0
290.0,0.0,1.0,2.0,0.0,0.0
291.0,3.0,0.0,0.0,0.0,0.0
292.0,24.0,4.0,0.0,0.0,0.0
293.0,8.0,5.0,0.0,4.0,0.0
294.0,8.0,2.0,0.0,0.0,0.0
295.0,1.0,4.0,1.0,0.0,0.0
296.0,2.0,0.0,0.0,0.0,0.0
297.0,7.0,4.0,0.0,0.0,0.0
298.0,1.0,0.0,0.0,0.0,0.0
299.0,69.0,8.0,3.0,13.0,0.0
300.0,28.0,21.0,2.0,5.0,0.0
301.0,0.0,1.0,4.0,0.0,0.0
302.0,0.0,2.0,2.0,0.0,0.0
303.0,5.0,1.0,0.0,0.0,0.0
304.0,30.0,3.0,1.0,4.0,0.0
305.0,18.0,7.0,3.0,0.0,0.0
306.0,1.0,2.0,20.0,0.0,0.0
307.0,1.0,2.0,0.0,0.0,0.0
308.0,8.0,0.0,0.0,1.0,0.0
312.0,0.0,0.0,1.0,4.0,0.0
313.0,12.0,1.0,1.0,0.0,1.0
314.0,0.0,0.0,1.0,0.0,0.0
315.0,0.0,1.0,3.0,0.0,0.0
316.0,2.0,1.0,1.0,0.0,0.0
317.0,2.0,3.0,0.0,0.0,0.0
318.0,4.0,1.0,1.0,0.0,0.0
319.0,2.0,0.0,0.0,0.0,0.0
320.0,2.0,0.0,1.0,0.0,0.0
321.0,3.0,1.0,0.0,0.0,0.0
323.0,6.0,1.0,1.0,0.0,0.0
326.0,4.0,0.0,0.0,0.0,0.0
327.0,1.0,0.0,0.0,0.0,0.0
331.0,10.0,11.0,16.0,3.0,0.0
332.0,3.0,6.0,4.0,0.0,0.0
333.0,32.0,7.0,5.0,0.0,0.0
334.0,13.0,3.0,0.0,0.0,1.0
335.0,17.0,13.0,3.0,14.0,0.0
336.0,21.0,3.0,5.0,3.0,0.0
337.0,14.0,5.0,8.0,0.0,0.0
338.0,63.0,1.0,5.0,9.0,0.0
339.0,7.0,23.0,19.0,2.0,0.0
340.0,13.0,29.0,12.0,2.0,0.0
341.0,21.0,5.0,3.0,1.0,0.0
342.0,29.0,19.0,10.0,0.0,2.0
343.0,34.0,10.0,7.0,1.0,0.0
344.0,29.0,13.0,5.0,1.0,0.0
345.0,13.0,2.0,2.0,0.0,1.0
346.0,26.0,1.0,2.0,1.0,0.0
347.0,19.0,1.0,0.0,0.0,0.0
348.0,4.0,3.0,2.0,0.0,0.0
349.0,17.0,1.0,1.0,11.0,0.0
350.0,5.0,14.0,21.0,0.0,0.0
351.0,56.0,20.0,33.0,9.0,14.0
352.0,15.0,7.0,3.0,10.0,0.0
353.0,21.0,3.0,5.0,7.0,0.0
354.0,0.0,9.0,3.0,0.0,0.0
355.0,33.0,9.0,3.0,6.0,0.0
356.0,1.0,1.0,1.0,0.0,0.0
357.0,8.0,1.0,3.0,0.0,0.0
358.0,6.0,1.0,1.0,0.0,0.0
359.0,15.0,3.0,3.0,1.0,0.0
360.0,7.0,13.0,2.0,1.0,0.0
361.0,3.0,0.0,0.0,0.0,0.0
362.0,11.0,3.0,1.0,0.0,0.0
363.0,29.0,15.0,1.0,0.0,0.0
364.0,24.0,15.0,22.0,2.0,0.0
365.0,22.0,7.0,2.0,0.0,1.0
366.0,44.0,7.0,1.0,4.0,0.0
367.0,45.0,3.0,7.0,0.0,0.0
368.0,45.0,2.0,2.0,0.0,0.0
401.0,0.0,8.0,0.0,0.0,0.0
451.0,3.0,1.0,1.0,0.0,0.0
452.0,1.0,0.0,0.0,0.0,0.0
453.0,0.0,14.0,6.0,4.0,38.0
454.0,7.0,0.0,0.0,0.0,0.0
1001.0,0.0,1.0,8.0,0.0,0.0
1003.0,0.0,0.0,2.0,0.0,0.0
1004.0,0.0,1.0,2.0,0.0,0.0
2001.0,0.0,3.0,8.0,0.0,0.0
3001.0,0.0,4.0,4.0,0.0,0.0
3002.0,0.0,1.0,1.0,0.0,0.0
4001.0,1.0,3.0,3.0,0.0,0.0
5001.0,0.0,0.0,1.0,0.0,0.0
5003.0,0.0,4.0,21.0,0.0,0.0
5004.0,0.0,0.0,3.0,0.0,0.0
6001.0,0.0,1.0,8.0,0.0,0.0
7001.0,0.0,0.0,1.0,0.0,0.0
7002.0,0.0,1.0,0.0,0.0,0.0
8001.0,0.0,2.0,2.0,0.0,0.0
9001.0,0.0,1.0,4.0,0.0,0.0
10001.0,0.0,1.0,1.0,0.0,0.0
10002.0,0.0,0.0,4.0,0.0,0.0
11001.0,0.0,1.0,4.0,0.0,0.0
12001.0,0.0,2.0,4.0,0.0,0.0
12004.0,0.0,0.0,1.0,0.0,0.0
14001.0,0.0,1.0,2.0,0.0,0.0
14002.0,0.0,3.0,7.0,0.0,0.0
14003.0,0.0,0.0,1.0,0.0,0.0
15001.0,0.0,11.0,24.0,5.0,0.0
15002.0,0.0,0.0,3.0,0.0,0.0
15003.0,0.0,1.0,0.0,0.0,0.0
15004.0,0.0,0.0,4.0,0.0,0.0
15005.0,0.0,38.0,29.0,0.0,0.0
16001.0,0.0,4.0,4.0,0.0,0.0
16002.0,0.0,0.0,1.0,0.0,0.0
19001.0,0.0,0.0,3.0,0.0,0.0
