age_sex_comb,source-destination,count
45-65_M,"dom-praca, praca-praca, praca-praca, praca-dom",2
45-65_M,"dom-inne, dom-praca, inne-inne, inne-dom",1
45-65_M,"dom-inne, inne-dom, dom-inne",1
45-65_M,"dom-inne, inne-inne",1
45-65_M,"dom-inne, inne-inne, inne-inne",1
45-65_M,"dom-inne, inne-inne, inne-inne, inne-dom",1
45-65_M,"dom-inne, inne-praca, praca-dom, dom-inne, inne-dom",1
45-65_M,"dom-praca, inne-dom, praca-inne",1
45-65_M,"dom-praca, inne-inne, inne-dom",1
45-65_M,"dom-praca, inne-inne, inne-inne, inne-dom",1
45-65_M,"dom-praca, praca-dom, dom-inne, inne-praca, praca-inne, inne-dom, dom-praca, praca-dom",1
45-65_M,"dom-praca, praca-inne",1
45-65_M,"dom-praca, praca-inne, inne-inne",1
45-65_M,"dom-praca, praca-praca",1
45-65_M,"dom-praca, praca-praca, praca-dom",1
45-65_M,"dom-praca, praca-uczelnia",1
45-65_M,"dom-szkola, szkola-inne, inne-inne, inne-dom",1
45-65_M,"dom-szkola, szkola-praca, praca-szkola, szkola-dom",1
45-65_M,"dom-uczelnia, uczelnia-dom",1
45-65_M,"inne-dom, dom-inne",1
45-65_M,inne-inne,1
45-65_M,"praca-dom, dom-inne, inne-dom",1
45-65_M,"praca-praca, praca-dom",1
45-65_M,"uczelnia-praca, praca-dom",1
6-15_K,"dom-szkola, szkola-dom",240
6-15_K,"dom-inne, inne-dom",24
6-15_K,"dom-szkola, szkola-dom, dom-inne, inne-dom",19
6-15_K,"dom-szkola, szkola-inne, inne-dom",7
6-15_K,dom-inne,2
6-15_K,"dom-inne, inne-inne, inne-dom",2
6-15_K,"inne-szkola, szkola-dom",2
6-15_K,dom-szkola,1
6-15_K,"dom-szkola, szkola-dom, dom-inne, inne-inne",1
6-15_K,"dom-szkola, szkola-dom, dom-praca, praca-dom",1
6-15_K,"dom-szkola, szkola-inne, inne-inne, inne-dom",1
6-15_K,"dom-szkola, szkola-inne, inne-szkola, szkola-dom",1
6-15_K,"dom-szkola, szkola-szkola",1
6-15_K,"dom-szkola, szkola-szkola, szkola-dom",1
6-15_K,inne-dom,1
6-15_K,"praca-szkola, szkola-szkola",1
6-15_K,"szkola-szkola, szkola-dom",1
6-15_M,"dom-szkola, szkola-dom",190
6-15_M,"dom-inne, inne-dom",29
6-15_M,"dom-szkola, szkola-dom, dom-inne, inne-dom",9
6-15_M,"dom-szkola, szkola-inne, inne-dom",9
6-15_M,dom-szkola,3
6-15_M,"dom-praca, praca-dom",2
6-15_M,"dom-szkola, szkola-inne, inne-inne, inne-dom",2
6-15_M,"dom-szkola, szkola-dom, dom-inne",1
6-15_M,"dom-szkola, szkola-inne, inne-inne, inne-inne, inne-inne, inne-dom",1
6-15_M,"dom-szkola, szkola-praca",1
6-15_M,inne-dom,1
6-15_M,"inne-szkola, szkola-dom",1
6-15_M,szkola-dom,1
61-x_K,"dom-inne, inne-dom",620
61-x_K,"dom-praca, praca-dom",62
61-x_K,"dom-inne, inne-dom, dom-inne, inne-dom",22
61-x_K,"dom-inne, inne-inne, inne-dom",18
61-x_K,dom-inne,10
61-x_K,"dom-inne, inne-inne, inne-inne, inne-dom",10
61-x_K,inne-dom,10
61-x_K,dom-dom,3
61-x_K,"dom-inne, inne-inne, inne-dom, dom-inne, inne-dom",3
61-x_K,"dom-praca, praca-dom, dom-inne, inne-dom",3
61-x_K,"dom-praca, praca-inne, inne-dom",3
61-x_K,dom-praca,2
61-x_K,"dom-inne, inne-dom, dom-inne, inne-inne, inne-dom",1
61-x_K,"dom-inne, inne-inne",1
61-x_K,"dom-inne, inne-inne, inne-inne, inne-inne",1
61-x_K,"dom-inne, inne-inne, inne-inne, inne-inne, inne-dom",1
61-x_K,"dom-szkola, szkola-dom",1
61-x_K,"dom-uczelnia, uczelnia-dom",1
61-x_K,"inne-dom, dom-inne",1
61-x_K,praca-dom,1
61-x_K,praca-praca,1
61-x_K,"praca-praca, praca-inne, inne-dom",1
66-x_M,"dom-inne, inne-dom",331
66-x_M,"dom-praca, praca-dom",20
66-x_M,"dom-inne, inne-inne, inne-dom",15
66-x_M,"dom-inne, inne-dom, dom-inne, inne-dom",9
66-x_M,"dom-inne, inne-inne, inne-inne, inne-dom",8
66-x_M,dom-inne,5
66-x_M,"dom-inne, inne-inne",3
66-x_M,"dom-uczelnia, uczelnia-dom",3
66-x_M,dom-dom,2
66-x_M,"dom-inne, inne-inne, inne-inne, inne-inne, inne-dom",2
66-x_M,"dom-dom, dom-dom",1
66-x_M,dom-praca,1
66-x_M,"dom-praca, praca-dom, dom-inne, inne-dom",1
66-x_M,"dom-praca, praca-inne, inne-dom",1
66-x_M,inne-dom,1
66-x_M,"inne-inne, inne-dom",1
66-x_M,"praca-inne, inne-dom",1
